Id,Genre
768,Fantasy
769,Drama
769,Mystery
769,Romance
770,Drama
771,Action
771,Adventure
771,Thriller
772,Action
772,Crime
772,Thriller
773,Animation
773,Action
773,Adventure
774,Drama
774,Fantasy
774,Mystery
775,Drama
775,Sci-Fi
776,Animation
776,Adventure
776,Comedy
777,Horror
777,Thriller
778,Action
778,Thriller
779,Comedy
780,Biography
780,Drama
781,Action
781,Mystery
781,Thriller
782,Action
782,Mystery
782,Sci-Fi
783,Crime
783,Drama
783,Thriller
784,Comedy
784,Romance
785,Comedy
785,Drama
785,Romance
786,Biography
786,Drama
786,Thriller
787,Drama
788,Action
788,Adventure
788,Family
789,Animation
789,Comedy
789,Family
790,Action
790,Crime
790,Drama
791,Comedy
792,Comedy
792,Crime
792,Thriller
793,Comedy
793,Romance
794,Animation
794,Comedy
794,Drama
795,Action
795,Crime
795,Thriller
796,Comedy
796,Romance
797,Adventure
797,Biography
797,Drama
798,Animation
798,Adventure
798,Comedy
799,Crime
799,Drama
799,Mystery
800,Action
800,Comedy
800,Sci-Fi
801,Comedy
801,Fantasy
801,Horror
802,Comedy
802,Crime
803,Animation
803,Action
803,Adventure
804,Action
804,Drama
804,Thriller
805,Fantasy
805,Horror
806,Crime
806,Drama
806,Thriller
807,Action
807,Adventure
807,Fantasy
808,Comedy
808,Drama
808,Romance
809,Biography
809,Drama
809,Romance
810,Action
810,Drama
810,History
811,Action
811,Adventure
811,Comedy
812,Horror
812,Thriller
813,Horror
813,Mystery
813,Thriller
814,Comedy
814,Romance
815,Animation
815,Adventure
815,Comedy
816,Crime
816,Drama
816,Mystery
817,Crime
817,Drama
817,Mystery
818,Adventure
818,Biography
818,Drama
819,Horror
819,Mystery
819,Thriller
820,Horror
820,Thriller
821,Drama
821,Romance
821,War
822,Adventure
822,Fantasy
822,Mystery
823,Action
823,Adventure
823,Sci-Fi
824,Biography
824,Drama
825,Drama
825,Thriller
826,Horror
826,Thriller
827,Drama
827,Horror
827,Thriller
828,Action
828,Adventure
828,Fantasy
829,Action
829,Horror
829,Thriller
830,Comedy
831,Drama
831,Sport
832,Comedy
832,Family
833,Drama
833,Romance
834,Action
834,Adventure
834,Comedy
835,Comedy
836,Mystery
836,Romance
836,Thriller
837,Crime
837,Drama
838,Action
838,Comedy
839,Crime
839,Drama
839,Mystery
840,Biography
840,Drama
840,Romance
841,Comedy
841,Crime
842,Drama
842,Thriller
843,Drama
844,Animation
844,Adventure
844,Comedy
845,Action
